"","tr_auc","te_auc","iter","cancer_type","agg_level","win_len","type","type1"
"141",0.667422752808989,0.550858704137393,21,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"142",0.669290730337079,0.590554254488681,22,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"143",0.669810393258427,0.478064012490242,23,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"144",0.739051966292135,0.517993754879001,24,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"145",0.684901685393258,0.517408274785324,25,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"146",0.675231741573034,0.520686963309914,26,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"147",0.679143258426966,0.565417642466823,27,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"148",0.706439606741573,0.555503512880562,28,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"149",0.718398876404494,0.492349726775956,29,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"150",0.687745786516854,0.570686963309914,30,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"151",0.859791704292336,0.665023011176857,1,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"152",0.837908614773343,0.531229454306377,2,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"153",0.811600746493288,0.583662064431295,3,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"154",0.780958401059539,0.414694280078895,4,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"155",0.878153031123954,0.277777777777778,5,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"156",0.801095659502739,0.560815253122945,6,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"157",0.837938715309132,0.573635765943458,7,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"158",0.835982180482813,0.486193293885602,8,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"159",0.82511588706279,0.382642998027613,9,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"160",0.827102522424899,0.46301775147929,10,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"161",0.811480344350129,0.67784352399737,11,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"162",0.846637770152309,0.530571992110454,12,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"163",0.844440431039672,0.275969756738988,13,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"164",0.812473662031184,0.661078238001315,14,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"165",0.806393353801698,0.49474030243261,15,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"166",0.842032388176509,0.541748849441157,16,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"167",0.827824935283848,0.491946088099934,17,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"168",0.837547408343868,0.445923734385273,18,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"169",0.805430136656432,0.616370808678501,19,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"170",0.801607368611161,0.557692307692308,20,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"171",0.848594304978629,0.553418803418803,21,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"172",0.798898320390103,0.489644970414201,22,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"173",0.789446752152188,0.48060486522025,23,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"174",0.818283065438565,0.64431295200526,24,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"175",0.84070796460177,0.590401051939514,25,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"176",0.783396544458491,0.608152531229454,26,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"177",0.846005658900728,0.442472057856673,27,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"178",0.847330082475468,0.61801446416831,28,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"179",0.823881765095419,0.558842866535174,29,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"180",0.812594064174342,0.526955950032873,30,"bone","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"181",0.757936876767623,0.716146599941125,1,"brain","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"182",0.76857249080504,0.69458345599058,2,"brain","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
